ano,idade,sexo,nascimento
2010,16 anos,Mulher,5
2010,17 anos,Mulher,18
2010,18 anos,Mulher,14
2010,19 anos,Mulher,13
2010,20 a 24 anos,Mulher,69
2010,20 anos,Mulher,15
2010,21 anos,Mulher,10
2010,22 anos,Mulher,11
2010,23 anos,Mulher,17
2010,24 anos,Mulher,16
2010,25 a 29 anos,Mulher,59
2010,25 anos,Mulher,12
2010,26 anos,Mulher,9
2010,27 anos,Mulher,17
2010,28 anos,Mulher,10
2010,29 anos,Mulher,11
2010,30 a 34 anos,Mulher,38
2010,30 anos,Mulher,4
2010,31 anos,Mulher,13
2010,32 anos,Mulher,7
2010,33 anos,Mulher,11
2010,34 anos,Mulher,3
2010,35 a 39 anos,Mulher,8
2010,35 anos,Mulher,3
2010,36 anos,Mulher,
2010,37 anos,Mulher,1
2010,38 anos,Mulher,3
2010,39 anos,Mulher,1
2010,40 a 44 anos,Mulher,2
2010,40 anos,Mulher,1
2010,41 anos,Mulher,
2010,42 anos,Mulher,
2010,43 anos,Mulher,1
2010,44 anos,Mulher,
2010,45 a 49 anos,Mulher,
2010,45 anos,Mulher,
2010,46 anos,Mulher,
2010,47 anos,Mulher,
2010,48 anos,Mulher,
2010,49 anos,Mulher,
2010,50 anos ou mais,Mulher,
2010,Ignorada,Mulher,2
2011,Menos de 15 anos,Homem,5
2011,15 a 19 anos,Homem,51
2011,15 anos,Homem,6
2011,16 anos,Homem,10
2011,17 anos,Homem,10
2011,18 anos,Homem,13
2011,19 anos,Homem,12
2011,20 a 24 anos,Homem,94
2011,20 anos,Homem,16
2011,21 anos,Homem,21
2011,22 anos,Homem,27
2011,23 anos,Homem,16
2011,24 anos,Homem,14
2011,25 a 29 anos,Homem,66
2011,25 anos,Homem,11
2011,26 anos,Homem,17
2011,27 anos,Homem,13
2011,28 anos,Homem,12
2011,29 anos,Homem,13
2011,30 a 34 anos,Homem,29
2011,30 anos,Homem,8
2011,31 anos,Homem,5
2011,32 anos,Homem,4
2011,33 anos,Homem,9
2011,34 anos,Homem,3
2011,35 a 39 anos,Homem,10
2011,35 anos,Homem,1
2011,36 anos,Homem,4
2011,37 anos,Homem,2
2011,38 anos,Homem,2
2011,39 anos,Homem,1
2011,40 a 44 anos,Homem,6
2011,40 anos,Homem,4
2011,41 anos,Homem,
2011,42 anos,Homem,1
2011,43 anos,Homem,
2011,44 anos,Homem,1
2011,45 a 49 anos,Homem,
2011,45 anos,Homem,
2011,46 anos,Homem,
2011,47 anos,Homem,
2011,48 anos,Homem,
2011,49 anos,Homem,
2011,50 anos ou mais,Homem,
2011,Ignorada,Homem,
2011,Menos de 15 anos,Mulher,3
2011,15 a 19 anos,Mulher,61
2011,15 anos,Mulher,9
2011,16 anos,Mulher,7
2011,17 anos,Mulher,17
2011,18 anos,Mulher,14
2011,19 anos,Mulher,14
2011,20 a 24 anos,Mulher,68
2011,20 anos,Mulher,16
2011,21 anos,Mulher,13
2011,22 anos,Mulher,17
2011,23 anos,Mulher,11
2011,24 anos,Mulher,11
2011,25 a 29 anos,Mulher,53
2011,25 anos,Mulher,14
2011,26 anos,Mulher,24
2011,27 anos,Mulher,5
2011,28 anos,Mulher,3
2011,29 anos,Mulher,7
2011,30 a 34 anos,Mulher,42
2011,30 anos,Mulher,16
2011,31 anos,Mulher,6
2011,32 anos,Mulher,7
2011,33 anos,Mulher,8
2011,34 anos,Mulher,5
2011,35 a 39 anos,Mulher,8
2011,35 anos,Mulher,3
2011,36 anos,Mulher,2
2011,37 anos,Mulher,
2011,38 anos,Mulher,2
2011,39 anos,Mulher,1
2011,40 a 44 anos,Mulher,4
2011,40 anos,Mulher,2
2011,41 anos,Mulher,1
2011,42 anos,Mulher,
2011,43 anos,Mulher,1
2011,44 anos,Mulher,
2011,45 a 49 anos,Mulher,
2011,45 anos,Mulher,
2011,46 anos,Mulher,
2011,47 anos,Mulher,
2011,48 anos,Mulher,
2011,49 anos,Mulher,
2011,50 anos ou mais,Mulher,
2011,Ignorada,Mulher,3
2012,Menos de 15 anos,Homem,2
2012,15 a 19 anos,Homem,80
2012,15 anos,Homem,10
2012,16 anos,Homem,13
2012,17 anos,Homem,18
2012,18 anos,Homem,18
2012,19 anos,Homem,21
2012,20 a 24 anos,Homem,83
2012,20 anos,Homem,18
2012,21 anos,Homem,19
2012,22 anos,Homem,18
2012,23 anos,Homem,17
2012,24 anos,Homem,11
2012,25 a 29 anos,Homem,64
2012,25 anos,Homem,15
2012,26 anos,Homem,17
2012,27 anos,Homem,6
2012,28 anos,Homem,11
2012,29 anos,Homem,15
2012,30 a 34 anos,Homem,37
2012,30 anos,Homem,10
2012,31 anos,Homem,4
2012,32 anos,Homem,13
2012,33 anos,Homem,6
2012,34 anos,Homem,4
2012,35 a 39 anos,Homem,14
2012,35 anos,Homem,7
2012,36 anos,Homem,3
2012,37 anos,Homem,1
2012,38 anos,Homem,3
2012,39 anos,Homem,
2012,40 a 44 anos,Homem,3
2012,40 anos,Homem,3
2012,41 anos,Homem,
2012,42 anos,Homem,
2012,43 anos,Homem,
2012,44 anos,Homem,
2012,45 a 49 anos,Homem,
2012,45 anos,Homem,
2012,46 anos,Homem,
2012,47 anos,Homem,
2012,48 anos,Homem,
2012,49 anos,Homem,
2012,50 anos ou mais,Homem,
2012,Ignorada,Homem,4
2012,Menos de 15 anos,Mulher,5
2012,15 a 19 anos,Mulher,67
2012,15 anos,Mulher,9
2012,16 anos,Mulher,11
2012,17 anos,Mulher,13
2012,18 anos,Mulher,17
2012,19 anos,Mulher,17
2012,20 a 24 anos,Mulher,77
2012,20 anos,Mulher,19
2012,21 anos,Mulher,17
2012,22 anos,Mulher,9
2012,23 anos,Mulher,16
2012,24 anos,Mulher,16
2012,25 a 29 anos,Mulher,76
2012,25 anos,Mulher,15
2012,26 anos,Mulher,12
2012,27 anos,Mulher,14
2012,28 anos,Mulher,20
2012,29 anos,Mulher,15
2012,30 a 34 anos,Mulher,29
2012,30 anos,Mulher,11
2012,31 anos,Mulher,5
2012,32 anos,Mulher,5
2012,33 anos,Mulher,5
2012,34 anos,Mulher,3
2012,35 a 39 anos,Mulher,19
2012,35 anos,Mulher,4
2012,36 anos,Mulher,3
2012,37 anos,Mulher,3
2012,38 anos,Mulher,4
2012,39 anos,Mulher,5
2012,40 a 44 anos,Mulher,4
2012,40 anos,Mulher,2
2012,41 anos,Mulher,
2012,42 anos,Mulher,
2012,43 anos,Mulher,2
2012,44 anos,Mulher,
2012,45 a 49 anos,Mulher,3
2012,45 anos,Mulher,2
2012,46 anos,Mulher,1
2012,47 anos,Mulher,
2012,48 anos,Mulher,
2012,49 anos,Mulher,
2012,50 anos ou mais,Mulher,
2012,Ignorada,Mulher,
2013,Menos de 15 anos,Homem,7
2013,15 a 19 anos,Homem,71
2013,15 anos,Homem,10
2013,16 anos,Homem,8
2013,17 anos,Homem,17
2013,18 anos,Homem,17
2013,19 anos,Homem,19
2013,20 a 24 anos,Homem,81
2013,20 anos,Homem,21
2013,21 anos,Homem,14
2013,22 anos,Homem,13
2013,23 anos,Homem,19
2013,24 anos,Homem,14
2013,25 a 29 anos,Homem,64
2013,25 anos,Homem,16
2013,26 anos,Homem,13
2013,27 anos,Homem,11
2013,28 anos,Homem,13
2013,29 anos,Homem,11
