ano,idade,sexo,total
2006,14 a 20 dias,Mulher,
2006,21 a 27 dias,Mulher,
2006,28 a 364 dias,Mulher,
2006,28 a 59 dias,Mulher,
2006,60 a 364 dias,Mulher,
2006,2 meses,Mulher,
2006,3 meses,Mulher,
2006,4 meses,Mulher,
2006,5 meses,Mulher,
2006,6 meses,Mulher,
2006,7 meses,Mulher,
2006,8 meses,Mulher,
2006,9 meses,Mulher,
2006,10 meses,Mulher,
2006,11 meses,Mulher,
2006,1 a 14 anos,Mulher,
2006,1 a 4 anos,Mulher,
2006,1 ano,Mulher,
2006,2 anos,Mulher,
2006,3 anos,Mulher,
2006,4 anos,Mulher,
2006,5 a 9 anos,Mulher,
2006,5 anos,Mulher,
2006,6 anos,Mulher,
2006,7 anos,Mulher,
2006,8 anos,Mulher,
2006,9 anos,Mulher,
2006,10 a 14 anos,Mulher,
2006,10 anos,Mulher,
2006,11 anos,Mulher,
2006,12 anos,Mulher,
2006,13 anos,Mulher,
2006,14 anos,Mulher,
2006,15 a 84 anos,Mulher,29
2006,15 a 19 anos,Mulher,1
2006,20 a 24 anos,Mulher,2
2006,25 a 29 anos,Mulher,
2006,30 a 34 anos,Mulher,1
2006,35 a 39 anos,Mulher,2
2006,40 a 44 anos,Mulher,
2006,45 a 49 anos,Mulher,1
2006,50 a 54 anos,Mulher,4
2006,55 a 59 anos,Mulher,4
2006,60 a 64 anos,Mulher,6
2006,65 a 69 anos,Mulher,4
2006,70 a 74 anos,Mulher,2
2006,75 a 79 anos,Mulher,
2006,80 a 84 anos,Mulher,2
2006,85 anos ou mais,Mulher,7
2006,85 a 89 anos,Mulher,1
2006,85 anos,Mulher,
2006,86 anos,Mulher,
2006,87 anos,Mulher,
2006,88 anos,Mulher,
2006,89 anos,Mulher,1
2006,90 a 94 anos,Mulher,5
2006,90 anos,Mulher,1
2006,91 anos,Mulher,
2006,92 anos,Mulher,1
2006,93 anos,Mulher,1
2006,94 anos,Mulher,2
2006,95 a 99 anos,Mulher,1
2006,95 anos,Mulher,1
2006,96 anos,Mulher,
2006,97 anos,Mulher,
2006,98 anos,Mulher,
2006,99 anos,Mulher,
2006,100 anos ou mais,Mulher,
2006,Idade ignorada,Mulher,
2007,Menos de 1 ano,Homem,3
2007,Menos de 7 dias,Homem,2
2007,Menos de 1 dia,Homem,1
2007,1 dia,Homem,1
2007,2 dias,Homem,
2007,3 dias,Homem,
2007,4 dias,Homem,
2007,5 dias,Homem,
2007,6 dias,Homem,
2007,7 a 27 dias,Homem,
2007,7 a 13 dias,Homem,
2007,14 a 20 dias,Homem,
2007,21 a 27 dias,Homem,
2007,28 a 364 dias,Homem,1
2007,28 a 59 dias,Homem,
2007,60 a 364 dias,Homem,1
2007,2 meses,Homem,
2007,3 meses,Homem,
2007,4 meses,Homem,
2007,5 meses,Homem,
2007,6 meses,Homem,
2007,7 meses,Homem,
2007,8 meses,Homem,
2007,9 meses,Homem,1
2007,10 meses,Homem,
2007,11 meses,Homem,
2007,1 a 14 anos,Homem,2
2007,1 a 4 anos,Homem,1
2007,1 ano,Homem,
2007,2 anos,Homem,
2007,3 anos,Homem,1
2007,4 anos,Homem,
2007,5 a 9 anos,Homem,1
2007,5 anos,Homem,
2007,6 anos,Homem,
2007,7 anos,Homem,1
2007,8 anos,Homem,
2007,9 anos,Homem,
2007,10 a 14 anos,Homem,
2007,10 anos,Homem,
2007,11 anos,Homem,
2007,12 anos,Homem,
2007,13 anos,Homem,
2007,14 anos,Homem,
2007,15 a 84 anos,Homem,88
2007,15 a 19 anos,Homem,4
