ano,idade,sexo,area,pop
1990,100 anos ou mais,Homem,Urbana,
1990,Idade ignorada,Homem,Urbana,
1990,0 a 4 anos,Homem,Rural,759
1990,Menos de 1 ano,Homem,Rural,
1990,0 ano,Homem,Rural,140
1990,1 ano,Homem,Rural,158
1990,2 anos,Homem,Rural,155
1990,3 anos,Homem,Rural,148
1990,4 anos,Homem,Rural,158
1990,5 a 9 anos,Homem,Rural,860
1990,5 anos,Homem,Rural,157
1990,6 anos,Homem,Rural,173
1990,7 anos,Homem,Rural,165
1990,8 anos,Homem,Rural,205
1990,9 anos,Homem,Rural,160
1990,10 a 14 anos,Homem,Rural,829
1990,10 anos,Homem,Rural,190
1990,11 anos,Homem,Rural,165
1990,12 anos,Homem,Rural,162
1990,13 anos,Homem,Rural,163
1990,14 anos,Homem,Rural,149
1990,15 a 19 anos,Homem,Rural,610
1990,15 anos,Homem,Rural,153
1990,16 anos,Homem,Rural,123
1990,17 anos,Homem,Rural,108
1990,18 anos,Homem,Rural,112
1990,19 anos,Homem,Rural,114
1990,20 a 24 anos,Homem,Rural,437
1990,20 anos,Homem,Rural,
1990,21 anos,Homem,Rural,
1990,22 anos,Homem,Rural,
1990,23 anos,Homem,Rural,
1990,24 anos,Homem,Rural,
1990,25 a 29 anos,Homem,Rural,308
1990,30 a 34 anos,Homem,Rural,326
1990,35 a 39 anos,Homem,Rural,205
1990,40 a 44 anos,Homem,Rural,217
1990,45 a 49 anos,Homem,Rural,192
1990,50 a 54 anos,Homem,Rural,150
1990,55 a 59 anos,Homem,Rural,139
1990,60 a 64 anos,Homem,Rural,91
1990,65 a 69 anos,Homem,Rural,129
1990,70 a 74 anos,Homem,Rural,90
1990,75 a 79 anos,Homem,Rural,84
1990,80 anos ou mais,Homem,Rural,76
1990,80 a 84 anos,Homem,Rural,
1990,85 a 89 anos,Homem,Rural,
1990,90 a 94 anos,Homem,Rural,
1990,95 a 99 anos,Homem,Rural,
1990,100 anos ou mais,Homem,Rural,
1990,Idade ignorada,Homem,Rural,
1990,0 a 4 anos,Mulher,Urbana,1064
1990,Menos de 1 ano,Mulher,Urbana,
1990,0 ano,Mulher,Urbana,198
1990,1 ano,Mulher,Urbana,193
1990,2 anos,Mulher,Urbana,192
1990,3 anos,Mulher,Urbana,229
1990,4 anos,Mulher,Urbana,252
1990,5 a 9 anos,Mulher,Urbana,1218
1990,5 anos,Mulher,Urbana,235
1990,6 anos,Mulher,Urbana,243
1990,7 anos,Mulher,Urbana,254
1990,8 anos,Mulher,Urbana,267
1990,9 anos,Mulher,Urbana,219
1990,10 a 14 anos,Mulher,Urbana,1249
1990,10 anos,Mulher,Urbana,245
1990,11 anos,Mulher,Urbana,252
1990,12 anos,Mulher,Urbana,292
1990,13 anos,Mulher,Urbana,240
1990,14 anos,Mulher,Urbana,220
1990,15 a 19 anos,Mulher,Urbana,1013
1990,15 anos,Mulher,Urbana,220
1990,16 anos,Mulher,Urbana,224
1990,17 anos,Mulher,Urbana,210
1990,18 anos,Mulher,Urbana,187
1990,19 anos,Mulher,Urbana,172
1990,20 a 24 anos,Mulher,Urbana,903
1990,20 anos,Mulher,Urbana,
1990,21 anos,Mulher,Urbana,
1990,22 anos,Mulher,Urbana,
1990,23 anos,Mulher,Urbana,
1990,24 anos,Mulher,Urbana,
1990,25 a 29 anos,Mulher,Urbana,672
1990,30 a 34 anos,Mulher,Urbana,504
1990,35 a 39 anos,Mulher,Urbana,445
1990,40 a 44 anos,Mulher,Urbana,374
1990,45 a 49 anos,Mulher,Urbana,296
1990,50 a 54 anos,Mulher,Urbana,215
1990,55 a 59 anos,Mulher,Urbana,201
1990,60 a 64 anos,Mulher,Urbana,133
1990,65 a 69 anos,Mulher,Urbana,130
1990,70 a 74 anos,Mulher,Urbana,94
1990,75 a 79 anos,Mulher,Urbana,106
1990,80 anos ou mais,Mulher,Urbana,88
1990,80 a 84 anos,Mulher,Urbana,
1990,85 a 89 anos,Mulher,Urbana,
1990,90 a 94 anos,Mulher,Urbana,
1990,95 a 99 anos,Mulher,Urbana,
1990,100 anos ou mais,Mulher,Urbana,
1990,Idade ignorada,Mulher,Urbana,
1990,0 a 4 anos,Mulher,Rural,793
1990,Menos de 1 ano,Mulher,Rural,
1990,0 ano,Mulher,Rural,145
1990,1 ano,Mulher,Rural,136
1990,2 anos,Mulher,Rural,142
1990,3 anos,Mulher,Rural,174
1990,4 anos,Mulher,Rural,196
1990,5 a 9 anos,Mulher,Rural,833
1990,5 anos,Mulher,Rural,173
1990,6 anos,Mulher,Rural,148
1990,7 anos,Mulher,Rural,157
1990,8 anos,Mulher,Rural,158
1990,9 anos,Mulher,Rural,197
1990,10 a 14 anos,Mulher,Rural,711
1990,10 anos,Mulher,Rural,153
1990,11 anos,Mulher,Rural,148
1990,12 anos,Mulher,Rural,141
1990,13 anos,Mulher,Rural,144
1990,14 anos,Mulher,Rural,125
1990,15 a 19 anos,Mulher,Rural,573
1990,15 anos,Mulher,Rural,140
1990,16 anos,Mulher,Rural,130
1990,17 anos,Mulher,Rural,120
1990,18 anos,Mulher,Rural,97
1990,19 anos,Mulher,Rural,86
1990,20 a 24 anos,Mulher,Rural,411
1990,20 anos,Mulher,Rural,
1990,21 anos,Mulher,Rural,
1990,22 anos,Mulher,Rural,
1990,23 anos,Mulher,Rural,
1990,24 anos,Mulher,Rural,
1990,25 a 29 anos,Mulher,Rural,303
1990,30 a 34 anos,Mulher,Rural,265
1990,35 a 39 anos,Mulher,Rural,228
1990,40 a 44 anos,Mulher,Rural,236
1990,45 a 49 anos,Mulher,Rural,191
1990,50 a 54 anos,Mulher,Rural,170
1990,55 a 59 anos,Mulher,Rural,137
1990,60 a 64 anos,Mulher,Rural,116
1990,65 a 69 anos,Mulher,Rural,118
1990,70 a 74 anos,Mulher,Rural,75
1990,75 a 79 anos,Mulher,Rural,77
1990,80 anos ou mais,Mulher,Rural,82
1990,80 a 84 anos,Mulher,Rural,
1990,85 a 89 anos,Mulher,Rural,
1990,90 a 94 anos,Mulher,Rural,
1990,95 a 99 anos,Mulher,Rural,
1990,100 anos ou mais,Mulher,Rural,
1990,Idade ignorada,Mulher,Rural,
2000,0 a 4 anos,Homem,Urbana,1301
2000,Menos de 1 ano,Homem,Urbana,220
2000,0 ano,Homem,Urbana,
2000,1 ano,Homem,Urbana,243
2000,2 anos,Homem,Urbana,255
2000,3 anos,Homem,Urbana,253
2000,4 anos,Homem,Urbana,330
2000,5 a 9 anos,Homem,Urbana,1348
2000,5 anos,Homem,Urbana,277
2000,6 anos,Homem,Urbana,234
2000,7 anos,Homem,Urbana,254
2000,8 anos,Homem,Urbana,289
2000,9 anos,Homem,Urbana,295
2000,10 a 14 anos,Homem,Urbana,1365
2000,10 anos,Homem,Urbana,217
2000,11 anos,Homem,Urbana,291
2000,12 anos,Homem,Urbana,292
2000,13 anos,Homem,Urbana,307
2000,14 anos,Homem,Urbana,258
2000,15 a 19 anos,Homem,Urbana,1582
2000,15 anos,Homem,Urbana,338
2000,16 anos,Homem,Urbana,322
2000,17 anos,Homem,Urbana,341
2000,18 anos,Homem,Urbana,254
2000,19 anos,Homem,Urbana,327
2000,20 a 24 anos,Homem,Urbana,1108
2000,20 anos,Homem,Urbana,248
2000,21 anos,Homem,Urbana,182
2000,22 anos,Homem,Urbana,185
2000,23 anos,Homem,Urbana,238
2000,24 anos,Homem,Urbana,255
2000,25 a 29 anos,Homem,Urbana,908
2000,30 a 34 anos,Homem,Urbana,750
2000,35 a 39 anos,Homem,Urbana,613
2000,40 a 44 anos,Homem,Urbana,536
2000,45 a 49 anos,Homem,Urbana,419
2000,50 a 54 anos,Homem,Urbana,313
2000,55 a 59 anos,Homem,Urbana,220
2000,60 a 64 anos,Homem,Urbana,278
2000,65 a 69 anos,Homem,Urbana,145
2000,70 a 74 anos,Homem,Urbana,149
2000,75 a 79 anos,Homem,Urbana,107
2000,80 anos ou mais,Homem,Urbana,
2000,80 a 84 anos,Homem,Urbana,60
2000,85 a 89 anos,Homem,Urbana,21
